276;Timaukel;42
277;Natales;43
278;Torres del Paine;43
279;Santiago;44
280;Cerrillos;44
281;Cerro Navia;44
282;Conchalí;44
283;El Bosque;44
284;Estación Central;44
285;Huechuraba;44
286;Independencia;44
287;La Cisterna;44
288;La Florida;44
289;La Granja;44
290;La Pintana;44
291;La Reina;44
292;Las Condes;44
293;Lo Barnechea;44
294;Lo Espejo;44
295;Lo Prado;44
296;Macul;44
297;Maipú;44
298;Ñuñoa;44
299;Pedro Aguirre Cerda;44
300;Peñalolén;44
301;Providencia;44
302;Pudahuel;44
303;Quilicura;44
304;Quinta Normal;44
305;Recoleta;44
306;Renca;44
307;San Joaquín;44
308;San Miguel;44
309;San Ramón;44
310;Vitacura;44
311;Puente Alto;45
312;Pirque;45
313;San José de Maipo;45
314;Colina;46
315;Lampa;46
316;Til til;46
317;San Bernardo;47
318;Buin;47
319;Calera de Tango;47
320;Paine;47
321;Melipilla;48
322;Alhué;48
323;Curacaví;48
324;María Pinto;48
325;San Pedro;48
326;Talagante;49
327;El Monte;49
328;Isla de Maipo;49
329;Padre Hurtado;49
330;Peñaflor;49
331;Valdivia;50
332;Corral;50
333;Lanco;50
334;Los Lagos;50
335;Máfil;50
336;Mariquina;50
337;Paillaco;50
338;Panguipulli;50
339;La Unión;51
340;Futrono;51
341;Lago Ranco;51
342;Río Bueno;51
343;Arica;52
344;Camarones;52
345;Putre;53
346;General Lagos;53
